INFO 2025-01-09 20:42:01,562 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:42:10,916 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:42:19,862 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 20:42:20,441 NE_RS_UNBLDRE: Unable to load application resource file /resources/styles.css api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 20:42:44,723 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:45:58,233 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:47:06,832 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:47:47,998 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:49:26,925 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:49:27,010 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:50:20,141 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:51:00,125 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:55:34,535 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:59:10,313 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 20:59:12,726 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 21:03:52,756 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 21:03:55,526 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 21:04:39,770 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 21:04:43,933 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 21:06:23,287 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 21:10:53,026 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 21:11:22,630 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 22:26:22,639 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 22:26:24,852 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
